ID,Timestamp,DateTime,DeviceName,Value,RawPayload
22952,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [5A 00 22 26 C8 02 00 00 18 02 00 56]
22953,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [5B 00 22 26 BE 02 01 00 18 02 00 56]
22954,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [5C 00 22 26 C8 02 01 00 18 02 00 56]
22955,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [5D 00 22 26 BE 02 06 00 18 02 00 56]
22956,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [5E 00 22 26 C8 02 01 00 18 02 00 56]
22957,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [5F 00 22 26 BE 02 02 00 18 02 00 56]
22958,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [60 00 22 26 C8 02 01 00 18 02 00 56]
22959,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [61 00 22 26 BE 02 17 00 18 02 00 56]
22960,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [62 00 22 26 C8 02 04 00 18 02 00 56]
22961,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [63 00 22 26 BE 02 06 00 18 02 00 56]
22962,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [64 00 22 26 C8 02 07 00 18 02 00 56]
22963,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [65 00 22 26 BE 02 00 00 18 02 00 56]
22964,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [66 00 22 26 C8 02 01 00 18 02 00 56]
22965,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [67 00 22 26 BE 02 00 00 18 02 00 56]
22966,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [68 00 22 26 C8 02 00 00 18 02 00 56]
22967,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [69 00 22 26 BE 02 1D 00 18 02 00 56]
22968,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [6A 00 22 26 C8 02 02 00 18 02 00 56]
22969,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [6B 00 22 26 BE 02 01 00 18 02 00 56]
22970,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [6C 00 22 26 C8 02 02 00 18 02 00 56]
22971,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [6D 00 22 26 BE 02 01 00 18 02 00 56]
22972,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [6E 00 22 26 C8 02 04 00 18 02 00 56]
22973,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [6F 00 22 26 BE 02 26 00 18 02 00 56]
22974,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [70 00 22 26 C8 02 00 00 18 02 00 56]
22975,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [71 00 22 26 BE 02 01 00 18 02 00 56]
22976,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [72 00 22 26 C8 02 01 00 18 02 00 56]
22977,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [73 00 22 26 BE 02 00 00 18 02 00 56]
22978,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [74 00 22 26 C8 02 01 00 18 02 00 56]
22979,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [75 00 22 26 BE 02 00 00 18 02 00 56]
22980,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [76 00 22 26 C8 02 01 00 18 02 00 56]
22981,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [77 00 22 26 BE 02 01 00 18 02 00 56]
22982,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [78 00 22 26 C8 02 01 00 18 02 00 56]
22983,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [79 00 22 26 BE 02 01 00 18 02 00 56]
22984,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [7A 00 22 26 C8 02 01 00 18 02 00 56]
22985,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [7B 00 22 26 BE 02 01 00 18 02 00 56]
22986,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [7C 00 22 26 C8 02 01 00 18 02 00 56]
22987,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [7D 00 22 26 BE 02 01 00 18 02 00 56]
22988,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [7E 00 22 26 C8 02 01 00 18 02 00 56]
22989,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [7F 00 22 26 BE 02 01 00 18 02 00 56]
22990,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [80 00 22 26 C8 02 01 00 18 02 00 56]
22991,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [81 00 22 26 BE 02 01 00 18 02 00 56]
22992,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [82 00 22 26 C8 02 01 00 18 02 00 56]
22993,1.78885E+12,9/8/2026 13:07,SomniGuard,70.2,SpO2:97.6% BPM:70 [83 00 22 26 BE 02 01 00 18 02 00 56]
22994,1.78885E+12,9/8/2026 13:07,SomniGuard,71.2,SpO2:97.6% BPM:71 [84 00 22 26 C8 02 01 00 18 02 00 56]
22995,1.78885E+12,9/8/2026 13:07,SomniGuard,70.7,SpO2:97.9% BPM:71 [85 00 3B 26 C3 02 01 00 18 02 00 56]
22996,1.78885E+12,9/8/2026 13:07,SomniGuard,71.7,SpO2:97.9% BPM:72 [86 00 3B 26 CD 02 02 00 18 02 00 56]
22997,1.78885E+12,9/8/2026 13:07,SomniGuard,70.7,SpO2:97.9% BPM:71 [87 00 3B 26 C3 02 01 00 18 02 00 56]
22998,1.78885E+12,9/8/2026 13:07,SomniGuard,71.7,SpO2:97.9% BPM:72 [88 00 3B 26 CD 02 01 00 18 02 00 56]
22999,1.78885E+12,9/8/2026 13:07,SomniGuard,70.7,SpO2:97.9% BPM:71 [89 00 3B 26 C3 02 02 00 18 02 00 56]
23000,1.78885E+12,9/8/2026 13:07,SomniGuard,71.7,SpO2:97.9% BPM:72 [8A 00 3B 26 CD 02 01 00 18 02 00 56]
23001,1.78885E+12,9/8/2026 13:07,SomniGuard,70.7,SpO2:97.9% BPM:71 [8B 00 3B 26 C3 02 01 00 18 02 00 56]
23002,1.78885E+12,9/8/2026 13:07,SomniGuard,71.7,SpO2:97.9% BPM:72 [8C 00 3B 26 CD 02 01 00 18 02 00 56]
23003,1.78885E+12,9/8/2026 13:07,SomniGuard,70.7,SpO2:97.9% BPM:71 [8D 00 3B 26 C3 02 01 00 18 02 00 56]
23004,1.78885E+12,9/8/2026 13:07,SomniGuard,71.7,SpO2:97.9% BPM:72 [8E 00 3B 26 CD 02 01 00 18 02 00 56]
23005,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [8F 00 3B 26 C3 02 02 00 18 02 00 56]
23006,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [90 00 3B 26 CD 02 02 00 18 02 00 56]
23007,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [91 00 3B 26 C3 02 01 00 18 02 00 56]
23008,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [92 00 3B 26 CD 02 01 00 18 02 00 56]
23009,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [93 00 3B 26 C3 02 01 00 18 02 00 56]
23010,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [94 00 3B 26 CD 02 02 00 18 02 00 56]
23011,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [95 00 3B 26 C3 02 01 00 18 02 00 56]
23012,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [96 00 3B 26 CD 02 01 00 18 02 00 56]
23013,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [97 00 3B 26 C3 02 01 00 18 02 00 56]
23014,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [98 00 3B 26 CD 02 01 00 18 02 00 56]
23015,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [99 00 3B 26 C3 02 02 00 18 02 00 56]
23016,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [9A 00 3B 26 CD 02 01 00 18 02 00 56]
23017,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [9B 00 3B 26 C3 02 01 00 18 02 00 56]
23018,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [9C 00 3B 26 CD 02 01 00 18 02 00 56]
23019,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [9D 00 3B 26 C3 02 01 00 18 02 00 56]
23020,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [9E 00 3B 26 CD 02 01 00 18 02 00 56]
23021,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [9F 00 3B 26 C3 02 01 00 18 02 00 56]
23022,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [A0 00 3B 26 CD 02 1C 00 18 02 00 56]
23023,1.78885E+12,9/8/2026 13:08,SomniGuard,70.7,SpO2:97.9% BPM:71 [A1 00 3B 26 C3 02 01 00 18 02 00 56]
23024,1.78885E+12,9/8/2026 13:08,SomniGuard,71.7,SpO2:97.9% BPM:72 [A2 00 3B 26 CD 02 01 00 18 02 00 56]
