Timestamp_s,RED,IR
5.1595,84414,86828
5.1642,84278,86628
5.1701,84225,86463
5.1713,84185,86353
5.1838,84151,86265
5.1891,84151,86244
5.1911,84142,86280
5.1936,84180,86324
5.2021,84211,86391
5.2031,84251,86491
5.2068,84300,86569
5.2127,84342,86645
5.2146,84317,86623
5.2157,84262,86588
5.2157,84265,86561
5.2209,84273,86577
5.2228,84297,86605
5.2248,84284,86602
5.2268,84269,86591
5.2316,84265,86558
5.2336,84347,86753
5.6404,84488,87043
5.6532,84610,87240
5.6579,84658,87390
5.6609,84716,87540
5.6649,84792,87734
5.6688,84837,87923
5.6703,84878,87986
5.6713,84856,87973
5.6713,84868,88022
5.6769,84891,88172
5.6785,84898,88223
5.6807,84838,88146
5.6827,84734,87985
5.6876,84612,87830
5.6896,84544,87748
5.692,84514,87717
5.692,84446,87590
5.692,84389,87481
5.692,84346,87422
5.6959,84348,87407
5.6959,84367,87450
5.6969,84390,87483
5.6969,84449,87566
5.6979,84425,87567
5.6979,84351,87386
6.1456,84205,87052
6.1456,84067,86813
6.1456,84008,86637
6.1456,83955,86495
6.1547,83902,86388
6.1558,83872,86311
6.158,83867,86293
6.1598,83881,86320
6.1598,83903,86318
6.1791,83955,86427
6.1901,84003,86502
6.1952,83975,86487
6.1998,83948,86448
6.2075,83941,86421
6.2075,83962,86421
6.2139,83998,86465
6.2165,84031,86475
6.2291,84032,86488
6.2347,84006,86501
6.2423,84031,86509
6.2435,84060,86584
6.2477,84092,86659
6.2504,84107,86674
6.2544,84104,86654
6.2562,84106,86671
6.6484,84162,86747
6.654,84248,86911
6.654,84308,87030
6.654,84348,87093
6.654,84374,87158
6.6597,84404,87237
6.6623,84439,87304
6.6633,84467,87359
6.6662,84461,87361
6.6675,84503,87404
6.6695,84506,87434
6.6705,84512,87441
6.672,84535,87464
6.6734,84572,87524
6.6784,84618,87604
6.7183,84617,87639
6.7346,84570,87514
6.7392,84438,87274
6.7602,84335,87047
6.7636,84304,86963
6.7705,84342,87033
6.7758,84403,87124
6.7808,84442,87224
6.7846,84462,87272
6.7919,84484,87311
7.1399,84450,87284
7.1556,84499,87316
7.1556,84534,87450
7.1662,84567,87507
7.1727,84613,87507
7.1757,84589,87510
7.179,84595,87461
7.1851,84589,87465
7.1873,84598,87477
7.1873,84622,87518
7.1957,84609,87551
7.1967,84640,87548
7.1987,84635,87564
7.2009,84621,87560
7.2032,84631,87555
7.2062,84628,87551
7.2113,84634,87605
7.2123,84676,87670
7.2123,84687,87696
7.2133,84679,87688
7.2133,84692,87708
7.2143,84725,87770
7.2148,84766,87863
7.2148,84794,87944
7.2148,84812,87974
7.6456,84844,88012
7.6456,84877,88073
7.6456,84898,88137
7.6456,84881,88122
7.6456,84846,88054
7.6637,84810,88005
7.6791,84836,88023
7.689,84830,88021
7.6927,84775,87919
7.7002,84642,87678
7.7039,84511,87368
7.7059,84417,87156
7.7067,84408,87082
7.7201,84453,87151
7.7275,84523,87270
7.7319,84606,87416
7.7383,84636,87489
7.7422,84668,87552
7.749,84703,87603
7.7504,84730,87691
7.7504,84791,87799
7.7564,84841,87862
7.7584,84878,87951
7.7594,84921,88012
7.7604,84933,88031
8.1484,84966,88082
8.1484,85044,88219
8.1522,85113,88347
8.1562,85143,88402
8.1577,85141,88423
8.1601,85173,88480
8.1612,85199,88530
8.1632,85203,88510
8.1671,85200,88470
8.168,85190,88488
8.17,85232,88574
8.171,85247,88647
8.1723,85258,88676
8.1738,85211,88604
8.2041,85127,88490
8.2082,85090,88445
8.2122,85085,88454
8.2173,85092,88480
8.2205,85089,88453
8.2205,85085,88426
8.2345,85113,88449
8.2345,85100,88460
8.2446,85056,88417
8.248,84984,88314
8.2497,84941,88233
8.6569,84912,88155
8.6569,84890,88125
8.6569,84822,88013
8.6722,84712,87769
8.6758,84590,87533
8.6779,84497,87361
8.6898,84478,87317
8.6932,84518,87356
8.7023,84578,87455
8.7033,84599,87533
8.7067,84610,87549
8.7104,84574,87498
8.7144,84575,87468
8.7205,84575,87464
8.7229,84585,87468
8.7229,84565,87468
8.7277,84533,87363
8.7287,84478,87254
8.7318,84422,87160
8.7373,84412,87108
8.7383,84409,87065
8.7393,84381,87019
8.7393,84358,86994
8.7393,84344,86975
8.7403,84333,86953
9.1423,84322,86909
9.1423,84307,86889
9.1581,84309,86886
9.1581,84319,86929
9.1659,84336,86934
9.1703,84321,86924
9.1721,84321,86917
9.1867,84299,86906
9.1963,84305,86913
9.2008,84317,86911
9.2067,84303,86912
9.2094,84340,86949
9.2143,84345,86983
9.2178,84364,87032
9.2197,84435,87130
9.2244,84460,87210
9.2254,84520,87312
9.2264,84559,87401
9.2284,84585,87471
9.2284,84609,87499
9.2326,84609,87448
9.2359,84585,87397
9.2369,84624,87374
9.242,84607,87327
9.242,84596,87263
9.6676,84609,87241
9.6676,84609,87303
9.6783,84655,87392
9.6818,84708,87443
9.6854,84738,87482
9.6861,84750,87501
9.6998,84712,87446
9.7058,84666,87417
9.71,84615,87338
9.7128,84589,87335
9.7157,84566,87276
9.7363,84578,87291
9.7567,84555,87273
9.7567,84523,87235
9.7636,84545,87259
9.7656,84549,87289
9.7696,84576,87344
9.7717,84627,87393
9.7754,84641,87401
9.7922,84642,87404
9.803,84609,87384
9.8091,84636,87374
9.8125,84634,87387
9.8175,84637,87413
9.8216,84648,87426
10.1513,84662,87460
10.1513,84672,87472
10.1513,84662,87495
10.1513,84674,87532
10.1616,84716,87582
10.1632,84739,87598
10.1642,84761,87618
10.1652,84796,87691
10.1652,84849,87778
10.1652,84910,87924
10.1717,84988,88060
10.1741,84969,88054
10.1757,84930,87979
10.1767,84857,87834
10.1801,84825,87756
10.1945,84833,87799
10.1998,84868,87883
10.2067,84901,87966
10.2102,84905,87961
10.2122,84906,87990
10.2142,84872,87940
10.2229,84894,87956
10.2239,84904,87983
10.2249,84934,88028
10.2385,84929,88039
10.6635,84917,88004
10.6635,84899,87992
10.6635,84917,88006
10.6689,84922,88015
10.672,84931,88066
10.674,84952,88101
10.676,84937,88096
10.6771,84941,88127
10.6816,84964,88163
10.6826,84978,88208
10.6836,85024,88242
10.6854,85046,88269
10.6989,85052,88306
10.7064,85082,88337
10.7129,85070,88373
10.7168,85067,88353
10.7208,85058,88335
10.7267,85075,88360
10.731,85080,88369
10.732,85062,88334
10.7355,85055,88330
10.7391,85024,88315
10.7401,84986,88263
10.7411,84933,88153
10.7429,84917,88131
11.1481,84870,88067
11.1481,84882,88096
11.1684,84952,88180
11.1721,85051,88336
11.18,85088,88430
11.1847,85115,88420
11.1863,85155,88389
11.1863,85156,88419
11.1942,85269,88526
11.1952,85351,88705
11.1989,85446,88856
11.2028,85481,88941
11.2048,85477,88952
11.2077,85467,88905
11.211,85472,88905
11.214,85488,88911
11.2149,85505,88947
11.2149,85522,88981
11.2217,85510,88980
11.2248,85522,88947
11.2266,85488,88983
11.2276,85502,88987
11.2276,85532,89043
11.2276,85551,89104
11.2298,85570,89111
11.6661,85541,89085
11.6661,85490,89011
11.6708,85495,89025
11.6755,85510,89071
11.6776,85579,89213
11.679,85604,89331
11.6846,85673,89557
11.689,85737,89821
11.694,85942,90389
11.7011,86150,91184
11.7041,86392,92083
11.7071,86760,93563
11.709,86958,94659
11.7316,87205,95566
11.7348,87409,96200
11.7624,87550,96689
11.7745,87669,97094
11.7837,87801,97450
11.7971,87915,97782
11.8001,88027,98065
11.8054,88132,98302
11.8064,88260,98567
11.8129,88348,98842
11.8237,88458,99074
11.833,88531,99288
12.158,88625,99480
12.1718,88719,99596
12.1783,88818,99741
12.1867,88989,100049
12.1919,89313,100575
12.1959,89998,101817
12.2013,90853,103409
12.2033,91848,105198
12.2058,93085,107376
12.2104,94387,109798
12.2158,96645,113608
12.2198,100075,118999
12.2208,103712,124367
12.2248,106818,128601
12.2268,108812,131236
12.2283,110441,133289
12.2283,111824,134910
12.2315,112748,135890
12.2345,113445,136639
12.2369,113877,137192
12.2417,114108,137528
12.2438,114218,137801
12.2438,114199,137848
12.2448,114067,137635
12.2448,113895,137299
12.6643,113659,136838
12.6643,113229,136086
12.6735,112428,134676
12.6795,111443,132738
12.6806,110790,131018
12.6806,110674,130260
12.6929,110841,130129
12.7019,111284,130430
12.7085,111674,130885
12.7127,112087,131541
12.7157,112635,132545
12.7198,113374,134141
12.7226,114086,135725
12.7287,114503,136814
12.7313,114828,137583
12.7333,115185,138234
12.7354,115394,138792
12.7364,115559,139236
12.7384,115644,139552
12.742,115542,139769
12.7452,115419,140012
12.7472,115114,140113
12.7482,114853,140085
12.7492,114527,139948
12.7498,114193,139705
13.1532,113734,139216
13.171,113093,138402
13.1793,112334,137410
13.1793,111706,136475
13.1793,111244,135756
13.1929,110884,135222
13.1999,110597,134781
13.2039,110303,134398
13.2116,109978,133924
13.2127,109717,133543
13.2127,109453,133176
13.2226,109247,132866
13.2236,109041,132563
13.2279,108859,132259
13.2289,108699,132004
13.2311,108590,131821
13.2331,108487,131618
13.2351,108402,131497
13.2351,108373,131397
13.2376,108310,131363
13.2407,108327,131394
13.2434,108359,131412
13.2466,108319,131424
13.2476,108302,131411
13.2476,108212,131377
13.6548,108178,131350
13.6745,108088,131278
13.6834,107985,131122
13.6871,107660,130791
13.6923,107215,130205
13.696,106238,128982
13.696,104706,126261
13.7075,103500,123893
13.7136,102697,122267
13.7202,102077,120976
13.7231,101682,120210
13.7276,101501,119879
13.7323,101340,119620
13.7351,101179,119436
13.7411,101074,119189
13.7435,100907,118983
13.7445,100782,118851
13.749,100751,118763
13.7493,100712,118764
13.7513,100702,118812
13.7543,100775,118994
13.7585,100872,119214
13.7605,101054,119576
13.7605,101459,120412
13.7605,102029,121540
14.1626,102554,122362
14.1626,102881,122774
14.1626,102939,122759
14.1756,102928,122553
14.1775,102955,122573
14.181,103017,122661
14.1929,103045,122771
14.1929,103075,122837
14.2051,103058,122880
14.2097,103000,122863
14.2133,102734,122572
14.2141,102350,122091
14.2196,101760,121173
14.2232,100523,118834
14.2232,99441,116449
14.2308,98697,114574
14.2318,98006,112944
14.2354,97312,111121
14.2389,96871,109186
14.2434,96350,107447
14.2453,95952,106291
14.2463,95574,105416
14.2483,95297,104962
14.2532,95053,104619
14.2567,94845,104269
14.6606,94620,103879
14.6606,94422,103530
14.6606,94251,103216
14.6606,94072,102765
14.6606,93614,101639
14.6765,93343,100743
14.689,93111,99907
14.6948,92749,98792
14.6998,92587,97315
14.7065,92578,95685
14.7065,91800,93309
14.7137,89705,90013
14.7178,86617,86111
14.7206,82048,80956
14.7259,76725,75225
14.729,71872,70062
14.729,67586,65639
14.7345,64331,62186
14.7364,62209,59894
14.7374,61345,58934
14.7394,61555,59087
14.7418,62630,60105
14.7462,65219,62593
14.7482,69668,66989
14.7482,75646,73100
15.1602,81365,79246
15.1602,85468,84247
15.1602,87057,86949
15.1602,87210,87801
15.1679,87505,89093
15.1701,88102,91364
15.1722,88830,94088
15.1733,89869,97394
15.1743,91489,101470
15.1779,93260,105533
15.1802,94905,108946
15.1813,96343,111759
15.1823,97403,113732
15.1861,98059,114926
15.188,98546,115820
15.2015,98907,116436
15.2066,99126,116841
15.22,99295,117207
15.22,99440,117532
15.229,99460,117658
15.2328,99348,117597
15.2342,99126,117357
15.2423,98680,116671
15.2433,98031,115475
15.2453,96723,112690
15.6592,95736,109932
15.6689,95082,107602
15.6689,94348,105452
15.6776,93571,103112
15.6848,92901,101292
15.6894,92318,99732
15.6928,91627,97930
15.6978,91258,95886
15.6999,90850,94105
